"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pullutant Standard","Metric Used","Method Name","Year","Units of Measure","Event Type","Observation Count","Observation Percent","Valid Day Count","Required Day Count","Exceptional Data Count","Null Data Count","Primary Exceedance Count","Secondary Exceedance Count","Certification Indicator","Num Obs Below MDL","Arithmetic Mean","Arithmetic Standard Dev","1st Max Value","1st Max DateTime","2nd Max Value","2nd Max DateTime","3rd Max Value","3rd Max DateTime","4th Max Value","4th Max DateTime","1st Max Non Overlapping Value","1st NO Max DateTime","2nd Max Non Overlapping Value","2nd NO Max DateTime","99th Percentile","98th Percentile","95th Percentile","90th Percentile","75th Percentile","50th Percentile","10th Percentile","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"04","013","5100","44201",1,33.629246,-111.676928,"WGS84","Ozone","1 HOUR","Ozone 1-hour Daily 2005","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET",2014,"Parts per million","No Events",738,8,31,365,0,6,0,0,"Certification not required",2,0.042129,0.004121,0.054,"2014-01-26 15:00",0.051,"2014-01-27 14:00",0.049,"2014-01-25 16:00",0.048,"2014-01-28 15:00","","","","",0.054,0.054,0.051,0.048,0.043,0.042,0.037,"Fort McDowell/Yuma Frank","18791 Yuma Frank Road, Ft. McDowell, AZ","Arizona","Maricopa","Fort McDowell","Phoenix-Mesa-Scottsdale, AZ","2014-02-03"
"04","013","5100","44201",1,33.629246,-111.676928,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values","",2014,"Parts per million","No Events",733,8,31,365,0,0,0,0,"Certification not required",0,0.037194,0.003911,0.048,"2014-01-26 11:00",0.047,"2014-01-27 10:00",0.043,"2014-01-25 11:00",0.041,"2014-01-28 10:00","","","","",0.048,0.048,0.047,0.041,0.039,0.037,0.033,"Fort McDowell/Yuma Frank","18791 Yuma Frank Road, Ft. McDowell, AZ","Arizona","Maricopa","Fort McDowell","Phoenix-Mesa-Scottsdale, AZ","2014-02-03"
"04","013","5100","44201",1,33.629246,-111.676928,"WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values","",2014,"Parts per million","No Events",733,8,31,365,0,0,0,0,"Certification not required",0,0.037194,0.003911,0.048,"2014-01-26 11:00",0.047,"2014-01-27 10:00",0.043,"2014-01-25 11:00",0.041,"2014-01-28 10:00","","","","",0.048,0.048,0.047,0.041,0.039,0.037,0.033,"Fort McDowell/Yuma Frank","18791 Yuma Frank Road, Ft. McDowell, AZ","Arizona","Maricopa","Fort McDowell","Phoenix-Mesa-Scottsdale, AZ","2014-02-03"
"04","013","5100","81102",3,33.629246,-111.676928,"WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","Daily Mean","INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC",2014,"Micrograms/cubic meter (25 C)","No Events",31,8,31,365,0,0,0,0,"Certification not required",0,20.258065,5.310165,35,"2014-01-31 00:00",29,"2014-01-24 00:00",27,"2014-01-27 00:00",26,"2014-01-22 00:00","","","","",35,35,29,26,25,20,14,"Fort McDowell/Yuma Frank","18791 Yuma Frank Road, Ft. McDowell, AZ","Arizona","Maricopa","Fort McDowell","Phoenix-Mesa-Scottsdale, AZ","2014-02-03"
"06","001","0007","42601",1,37.687526,-121.784217,"NAD83","Nitric oxide (NO)","1 HOUR","","Observed Values","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",681,8,30,365,0,0,"","","Certification not required",0,26.277974,33.60844,180.7,"2014-01-22 07:00",169.1,"2014-01-22 08:00",154.8,"2014-01-16 08:00",147.4,"2014-01-16 07:00","","","","",141.4,120.4,91.8,75.1,46.7,7.5,0.5,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","42602",1,37.687526,-121.784217,"NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour","Daily Maximum 1-hour average","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",681,8,30,365,0,0,0,"","Certification not required",0,37.156667,9.214257,48.5,"2014-01-16 18:00",48.3,"2014-01-24 18:00",47.5,"2014-01-23 20:00",46,"2014-01-07 19:00","","","","",48.5,48.5,48.3,47.5,44.3,40.4,25.1,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","42602",1,37.687526,-121.784217,"NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","Observed values","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",681,8,30,365,0,0,"","","Certification not required",0,21.560059,12.414151,48.5,"2014-01-16 18:00",48.3,"2014-01-24 18:00",47.5,"2014-01-23 20:00",46.6,"2014-01-23 21:00","","","","",46,43.8,40.6,37.8,32,22.4,5.8,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","42603",1,37.687526,-121.784217,"NAD83","Oxides of nitrogen (NOx)","1 HOUR","","Observed Values","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",681,8,30,365,0,0,"","","Certification not required",0,47.837004,43.254791,219.9,"2014-01-22 07:00",213.5,"2014-01-22 08:00",197.5,"2014-01-16 08:00",185.4,"2014-01-20 08:00","","","","",180,154.3,127.7,108.5,80.6,30.9,6.9,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","44201",1,37.687526,-121.784217,"NAD83","Ozone","1 HOUR","Ozone 1-hour Daily 2005","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET",2014,"Parts per million","No Events",681,8,30,365,0,0,0,0,"Certification not required",313,0.037133,0.007687,0.055,"2014-01-23 15:00",0.049,"2014-01-19 14:00",0.048,"2014-01-17 14:00",0.043,"2014-01-02 14:00","","","","",0.055,0.055,0.049,0.048,0.042,0.038,0.028,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","44201",1,37.687526,-121.784217,"NAD83","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values","",2014,"Parts per million","No Events",728,8,30,365,0,0,0,0,"Certification not required",0,0.029033,0.006896,0.042,"2014-01-19 11:00",0.042,"2014-01-23 10:00",0.04,"2014-01-17 10:00",0.036,"2014-01-02 10:00","","","","",0.042,0.042,0.042,0.04,0.034,0.028,0.022,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","44201",1,37.687526,-121.784217,"NAD83","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values","",2014,"Parts per million","No Events",728,8,30,365,0,0,0,0,"Certification not required",0,0.029033,0.006896,0.042,"2014-01-19 11:00",0.042,"2014-01-23 10:00",0.04,"2014-01-17 10:00",0.036,"2014-01-02 10:00","","","","",0.042,0.042,0.042,0.04,0.034,0.028,0.022,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","84313",1,37.687526,-121.784217,"NAD83","Black carbon PM2.5 STP","1 HOUR","","Observed Values","Magee Scientific TAPI M633 Aethalometer - Optical absorption",2014,"Micrograms/cubic meter (25 C)","No Events",744,8,31,365,0,0,"","","Certification not required",37,2.150363,1.791178,11.81,"2014-01-14 22:00",9.53,"2014-01-10 22:00",8.53,"2014-01-23 08:00",8.45,"2014-01-17 21:00","","","","",7.39,6.63,5.65,4.58,3.28,1.68,0.3,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","1 HOUR","","Observed Values","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation",2014,"Micrograms/cubic meter (LC)","No Events",676,8,29,365,0,0,"","","Certification not required",0,18.093195,13.679242,68,"2014-01-23 23:00",67,"2014-01-01 01:00",67,"2014-01-23 20:00",66,"2014-01-23 21:00","","","","",57,54,47,37,26,15,4,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
